IATA,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/18,14.99,,0,59,77,50,290,290,31.1,38.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/19,23.94,,0,62,68,53,280,290,36.9,47,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/20,17,,0,60,73,50,280,280,31.1,38,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/21,12.97,,0,59,72,50,300,300,29.1,35.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/22,16.55,,0,58,68,51,280,290,31.1,40,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/23,14.99,,0,59,69,52,290,290,31.1,38,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/24,8.72,,0,62,87,53,280,310,21,25.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/25,8.5,,0,70,81,57,300,310,25.1,32,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/26,6.71,,0,62,69,55,250,240,19.9,27.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/27,9.4,,0,62,70,56,270,280,21.9,30,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/28,14.76,,0,61,72,54,280,280,30,36.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/29,20.58,,0,60,67,53,280,270,33.1,40.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/30,20.13,,0,58,67,50,280,280,33.1,42.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/5/31,14.09,,0,59,76,50,280,280,30,36.9,,,,,
